0.0	1.0
0.037037037037037035	0.9237478115671748
0.07407407407407407	0.8887157578063404
0.1111111111111111	0.6506832997077245
0.14814814814814814	0.5445422963790747
0.18518518518518517	0.45605616506116714
0.2222222222222222	0.3868796282791457
0.25925925925925924	0.3172603442217328
0.2962962962962963	0.3007473760865605
0.3333333333333333	0.2602637694143123
0.37037037037037035	0.22242522735565687
0.4074074074074074	0.21236557325910266
0.4444444444444444	0.2001643303486388
0.48148148148148145	0.09058515826009145
0.5185185185185185	0.0897443017698991
0.5555555555555556	0.08484657223813678
0.5925925925925926	0.06650344361875567
0.6296296296296297	0.05035069425160399
0.6666666666666666	0.008884012151933424
0.7037037037037037	0.007081880217397736
0.7407407407407407	0.007052813573292321
0.7777777777777778	0.0069863755296228035
0.8148148148148148	0.001600741614662461
0.8518518518518519	0.001600741614662461
0.8888888888888888	0.00131215136247299
0.9259259259259259	0.0
0.9629629629629629	0.0
1.0	0.0
